Computing id,What is the name of your activity?,What categor(ies) best describe your activity?,Is your activity a Contracted Independent Organization (CIO)?,"Does your activity require an application, interview, or audition?"
dwj7ma,Christian Hoos Exalt,A Cappella,Yes,Yes
dwj7ma,CRU,Religious & Spiritual,I don't know,No
vkh4pg,Theta Delta Chi,Fraternity or Sorority,No,No
vkh4pg,Outdoors Club,Social & Hobby,Yes,No
skn4vr,Theta Delta Chi,Fraternity or Sorority,I don't know,No
skn4vr,Class Council,Public Service,No,Yes
skn4vr,LOTL,Public Service,No,Yes
skn4vr,Hoos Reporting,Media Group,No,No
gvz4gy,Indian Student Association ,Cultural & Ethnic,I don't know,No
gvz4gy,Radio Music Society ,Visual & Performing Arts,Yes,Yes
gvz4gy,University Guide Service ,Public Service,No,Yes
kwc3am,Senior Investigator Council on UVA Honor,Honor Society,No,Yes
kwc3am,Jefferson Consulting Group,Academic & Professional,Yes,Yes
kwc3am,Program Director in C.A.S.H. Madison House,"Academic & Professional, Public Service",Yes,Yes
vzh2vs,Be a Problem Solver,Social & Hobby,Yes,No
vzh2vs,Bolton Lab (research),Academic & Professional,No,Yes
vzh2vs,Teaching Assistant for Operation Research,Academic & Professional,No,Yes
pmh3ax,Chrsitian Hoos Exalt,"A Cappella, Religious & Spiritual, Visual & Performing Arts",Yes,Yes
fpv5gr,Christian 'Hoos Exalt,A Cappella,Yes,Yes
aby4fu,Christian Hoos Exalt,A Cappella,Yes,Yes
fpv5gr,Student Game Developers,Social & Hobby,Yes,No
aby4fu,Navigators,Religious & Spiritual,Yes,No
fpv5gr,Catholic Hoos,"Religious & Spiritual, Social & Hobby",Yes,No
pmh3ax,Cru,Religious & Spiritual,Yes,No
aby4fu,Nursing Student Council,Academic & Professional,Yes,Yes
vzh2vs,Residential Life (HRL),Peer Mentors,No,Yes
jnn7nd,Sigma Phi Epsilon Fraternity,Fraternity or Sorority,I don't know,Yes
gqk5bm,Christian 'Hoos Exalt,A Cappella,Yes,Yes
gqk5bm,Washington Society,Debate,Yes,I don't know
gqk5bm,ColorStack at UVA,Academic & Professional,No,No
fxr8kz,The Washington Literary and Debating Society,"Academic & Professional, Political & Advocacy, Social & Hobby",Yes,No
fxr8kz,The Association for Computing Machinery,Academic & Professional,Yes,No
fxr8kz,University Singers,Choir,No,Yes
fxr8kz,Chamber Singers,Choir,No,Yes
fxr8kz,Virginia Entrepreneurship Organization,Academic & Professional,Yes,No
fxr8kz,Hoos Motor Club,Social & Hobby,Yes,No
djf2ej,Theta Delta Chi Fraternity - Nu Charge,Fraternity or Sorority,I don't know,No
ymx9qt ,Christian Hoos Exalt,A Cappella,Yes,Yes
ymx9qt ,Multi Race Student Coalition ,Cultural & Ethnic,Yes,No
ymx9qt ,UVA Questbridge,Academic & Professional,I don't know,Yes
mun7du,UVA Costume Shop Assistant,Visual & Performing Arts,No,Yes
mun7du,Research Assistant in the Philosophy Dept,Academic & Professional,No,Yes
mun7du,Resident Advisor,"Academic & Professional, Peer Mentors",No,Yes
mun7du,Echols Scholar & Echols Peer Mentor,"Honor Society, Peer Mentors",No,Yes
mun7du,La Maison Française ,"Academic & Professional, Cultural & Ethnic",No,Yes
mun7du,The Philosophy Club,Academic & Professional,Yes,No
hvf5hy ,"Resident Advisor, table tennis, sales and trading group","Academic & Professional, Peer Mentors, Public Service, Social & Hobby",Yes,Yes
yez9pj,Association for Computing Machinery,Academic & Professional,No,No
yez9pj,Google Developers Student Club,Academic & Professional,No,No
yez9pj,ProjectCode,Academic & Professional,No,No