Mentee,Mentor,total,gender,year,school,major,study style,academic interests,personality traits,extroversion,research,work experience,hours,mentorship style,Social & Hobby,Public Service,Media Group,Cultural & Ethnic,Visual & Performing Arts,Honor Society,Academic & Professional,A Cappella,Peer Mentors,Debate,Choir,activity matches
wud3tx,kwc3am,51.0,0.0,0,2,8,3,4,0.0,8.0,8,0,0,6,0,0,0,0,0,2,0,0,0,0,0,10
wud3tx,dwj7ma,39.5,1.5,0,2,8,3,2,12.0,0.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,yez9pj,39.0,0.0,0,0,0,0,4,2.0,2.0,6,0,0,3,0,0,0,0,0,0,2,0,0,0,0,20
rem4eb,vzh2vs,35.0,0.0,0,2,0,0,2,6.0,2.0,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,10
jex3rc,kwc3am,35.0,3.0,0,2,6,3,4,4.0,4.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,fxr8kz,34.5,2.5,0,0,0,0,0,0.0,4.0,8,0,0,6,2,0,0,0,0,0,2,0,0,0,0,10
pyp2xp,kwc3am,33.5,2.5,0,2,0,0,2,0.0,4.0,8,0,0,3,0,0,0,0,0,2,0,0,0,0,0,10
kvp8as,kwc3am,33.0,0.0,0,2,8,3,2,3.0,6.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
wud3tx,hvf5hy,33.0,0.0,0,0,8,0,2,8.0,4.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
npw9hv,fxr8kz,32.0,0.0,0,0,0,0,2,3.0,6.0,6,0,0,3,0,0,0,0,0,0,2,0,0,0,0,10
kks9hk,fxr8kz,32.0,3.0,0,2,2,3,2,1.0,2.0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,10
wud3tx,ymx9qt,30.5,1.5,0,2,0,0,0,12.0,4.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
wud3tx,yez9pj,29.0,0.0,0,0,0,0,4,8.0,4.0,8,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
wud3tx,jnn7nd,29.0,0.0,0,0,0,0,2,8.0,8.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,vzh2vs,29.0,0.0,0,0,0,0,2,4.0,2.0,6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,10
bky8dm,dwj7ma,28.5,2.5,0,2,0,3,2,12.0,0.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,mun7du,28.5,2.5,0,0,0,3,0,3.0,3.0,8,0,-6,3,0,0,0,0,2,0,0,0,0,0,0,10
bky8dm,kwc3am,28.0,0.0,0,2,0,3,2,4.0,8.0,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
bky8dm,fxr8kz,28.0,0.0,0,0,0,3,2,8.0,8.0,4,0,-4,3,2,0,0,0,0,0,2,0,0,0,0,0
wud3tx,fxr8kz,28.0,0.0,0,0,0,3,2,4.0,8.0,8,0,-4,3,2,0,0,0,0,0,2,0,0,0,0,0
bky8dm,vkh4pg,28.0,0.0,0,2,6,3,2,4.0,8.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,dwj7ma,27.5,2.5,0,0,0,3,2,9.0,0.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bky8dm,gvz4gy,27.5,2.5,0,2,0,3,2,8.0,4.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,dwj7ma,27.5,1.5,0,2,0,3,0,9.0,0.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
wud3tx,pmh3ax,27.0,0.0,0,2,8,0,2,4.0,8.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
jws9eq,vzh2vs,27.0,0.0,0,0,0,0,2,2.0,2.0,6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,10
jex3rc,yez9pj,27.0,3.0,0,0,0,0,4,4.0,2.0,6,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0
jex3rc,hvf5hy,26.0,3.0,0,0,6,0,2,4.0,2.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,fxr8kz,26.0,0.0,0,0,0,3,2,4.0,4.0,6,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0
rem4eb,jnn7nd,26.0,0.0,0,2,0,0,2,4.0,4.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
rem4eb,fxr8kz,26.0,0.0,0,2,0,0,2,2.0,4.0,8,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0
jex3rc,gvz4gy,26.0,0.0,0,2,0,3,2,2.0,2.0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,10
usu8qa,fxr8kz,26.0,0.0,0,0,6,3,2,2.0,2.0,4,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0
ybu6vk,dwj7ma,26.0,3.0,0,2,0,3,2,6.0,0.0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
jws9eq,ymx9qt,26.0,2.0,0,2,6,0,2,0.0,2.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
bky8dm,ymx9qt,25.5,2.5,0,2,0,0,2,8.0,4.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bky8dm,jnn7nd,25.0,0.0,0,0,0,0,2,8.0,8.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,hvf5hy,25.0,0.0,0,0,8,0,2,3.0,3.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
jws9eq,dwj7ma,25.0,2.0,0,2,0,3,2,4.0,0.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,fxr8kz,25.0,0.0,0,0,0,3,2,3.0,6.0,8,0,-4,3,2,0,0,0,0,0,2,0,0,0,0,0
jex3rc,fxr8kz,24.0,3.0,0,0,0,3,2,2.0,4.0,6,0,-4,6,0,0,0,0,0,0,2,0,0,0,0,0
jws9eq,vkh4pg,24.0,0.0,0,2,6,3,2,4.0,4.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,fxr8kz,24.0,0.0,0,0,0,3,0,3.0,6.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
rem4eb,yez9pj,24.0,0.0,0,2,0,0,2,4.0,2.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
rem4eb,fpv5gr,24.0,0.0,0,2,0,0,2,4.0,2.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,jnn7nd,23.5,2.5,0,0,0,3,0,0.0,4.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,yez9pj,23.5,2.5,0,0,0,3,0,0.0,2.0,8,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0
npw9hv,dwj7ma,23.5,1.5,0,2,6,0,2,3.0,0.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
wud3tx,vzh2vs,23.0,0.0,0,0,0,0,2,4.0,4.0,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,kwc3am,23.0,0.0,0,2,0,3,4,4.0,4.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jex3rc,dwj7ma,23.0,0.0,0,2,0,3,2,4.0,0.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,dwj7ma,23.0,3.0,0,2,0,3,2,4.0,0.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bky8dm,yez9pj,23.0,0.0,0,0,0,0,2,8.0,4.0,4,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
jex3rc,jnn7nd,23.0,3.0,0,0,0,0,2,2.0,4.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,hvf5hy,22.5,2.5,0,0,0,3,4,0.0,2.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bky8dm,mun7du,22.5,2.5,0,2,0,3,2,8.0,4.0,4,0,-6,3,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,mun7du,22.5,1.5,0,2,0,3,0,3.0,3.0,6,0,-2,6,0,0,0,0,0,0,0,0,0,0,0,0
bky8dm,skn4vr,22.0,0.0,0,2,0,3,2,8.0,8.0,0,0,-4,3,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,ymx9qt,22.0,0.0,0,2,0,0,4,0.0,2.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
rem4eb,dwj7ma,22.0,2.0,0,0,0,0,2,4.0,0.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,skn4vr,22.0,0.0,0,2,0,3,2,3.0,6.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
wud3tx,skn4vr,22.0,0.0,0,2,0,3,2,8.0,8.0,0,0,-4,3,0,0,0,0,0,0,0,0,0,0,0,0
npw9hv,pmh3ax,22.0,0.0,0,2,6,0,2,3.0,6.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,kwc3am,22.0,0.0,0,0,0,3,2,3.0,6.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,jnn7nd,21.5,2.5,0,0,0,3,0,2.0,4.0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,fpv5gr,21.5,2.5,0,0,0,3,0,0.0,2.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,fpv5gr,21.5,2.5,0,0,0,3,0,4.0,2.0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,ymx9qt,21.5,1.5,0,2,0,0,0,3.0,3.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
vzj5ee,kwc3am,21.0,2.0,0,2,0,3,2,1.0,2.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
vzj5ee,fxr8kz,21.0,2.0,0,0,0,3,2,1.0,2.0,6,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
jws9eq,fxr8kz,21.0,0.0,0,0,0,3,2,2.0,4.0,6,0,-4,6,2,0,0,0,0,0,0,0,0,0,0,0
kcj3un,yez9pj,21.0,0.0,0,0,0,0,2,3.0,3.0,8,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
rem4eb,kwc3am,21.0,0.0,0,0,0,0,2,4.0,4.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
npw9hv,djf2ej,21.0,0.0,0,2,6,3,4,3.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,mun7du,21.0,3.0,0,2,0,3,0,2.0,2.0,6,0,-2,3,0,0,0,0,2,0,0,0,0,0,0,0
kvp8as,yez9pj,20.0,0.0,0,0,0,0,2,3.0,3.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
usu8qa,yez9pj,20.0,0.0,0,0,6,0,2,2.0,1.0,4,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
bky8dm,hvf5hy,20.0,0.0,0,0,0,0,2,4.0,4.0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
rem4eb,mun7du,20.0,2.0,0,0,0,0,0,4.0,2.0,8,0,-2,6,0,0,0,0,0,0,0,0,0,0,0,0
npw9hv,hvf5hy,20.0,0.0,0,0,0,3,2,0.0,3.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
jws9eq,jnn7nd,20.0,0.0,0,0,0,0,2,2.0,4.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
jex3rc,skn4vr,20.0,3.0,0,2,0,3,2,4.0,4.0,0,0,-4,6,0,0,0,0,0,0,0,0,0,0,0,0
rem4eb,ymx9qt,20.0,2.0,0,0,0,0,0,2.0,2.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
bky8dm,vzh2vs,20.0,0.0,0,0,0,0,2,8.0,4.0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,mun7du,20.0,0.0,0,2,0,0,4,0.0,2.0,8,0,-2,6,0,0,0,0,0,0,0,0,0,0,0,0
ybu6vk,jnn7nd,20.0,0.0,0,0,0,0,2,4.0,4.0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
jex3rc,vzh2vs,20.0,3.0,0,0,0,0,2,4.0,2.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
usu8qa,vzh2vs,20.0,0.0,0,0,0,0,2,1.0,1.0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10
npw9hv,jnn7nd,20.0,0.0,0,0,0,3,2,0.0,6.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
wud3tx,mun7du,19.5,1.5,0,2,0,3,0,4.0,4.0,8,0,-6,3,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,ymx9qt,19.5,2.5,0,0,0,0,0,3.0,3.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
wud3tx,gvz4gy,19.5,1.5,0,2,0,3,2,4.0,4.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
wud3tx,vkh4pg,19.0,0.0,0,2,0,3,2,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bky8dm,pmh3ax,19.0,0.0,0,2,0,0,2,4.0,8.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,gvz4gy,19.0,3.0,0,2,0,3,2,4.0,2.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
jex3rc,pmh3ax,19.0,3.0,0,2,0,0,2,2.0,4.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
jex3rc,vkh4pg,19.0,3.0,0,2,0,3,2,2.0,4.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
usu8qa,dwj7ma,19.0,2.0,0,2,0,3,2,3.0,0.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,jnn7nd,19.0,0.0,0,0,0,0,2,0.0,6.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,jnn7nd,19.0,0.0,0,0,0,0,2,4.0,4.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
jws9eq,mun7du,19.0,2.0,0,2,0,3,2,2.0,2.0,6,0,-6,6,0,0,0,0,0,0,0,0,0,0,0,0
jex3rc,fpv5gr,19.0,3.0,0,0,0,0,2,4.0,2.0,6,0,-4,6,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,skn4vr,18.5,2.5,0,2,0,0,4,0.0,4.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
kks9hk,yez9pj,18.0,3.0,-20,2,2,0,2,1.0,1.0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,20
bpr5yg,vkh4pg,18.0,0.0,0,2,0,3,2,4.0,4.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
vzj5ee,dwj7ma,18.0,0.0,0,2,0,3,2,2.0,0.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ybu6vk,pmh3ax,18.0,0.0,0,2,0,0,2,2.0,4.0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0
jex3rc,ymx9qt,18.0,0.0,0,2,0,0,0,2.0,2.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
vzj5ee,vzh2vs,18.0,2.0,0,0,0,0,2,1.0,1.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
jws9eq,pmh3ax,18.0,0.0,0,2,0,0,2,4.0,4.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,ymx9qt,18.0,3.0,0,2,0,0,0,2.0,2.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ybu6vk,fpv5gr,18.0,0.0,0,0,6,0,2,2.0,2.0,4,0,-4,6,0,0,0,0,0,0,0,0,0,0,0,0
usu8qa,mun7du,18.0,2.0,0,2,0,3,4,1.0,1.0,4,0,-2,3,0,0,0,0,0,0,0,0,0,0,0,0
usu8qa,ymx9qt,18.0,2.0,0,2,0,0,4,2.0,1.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,jnn7nd,18.0,0.0,0,0,0,0,0,0.0,6.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,gvz4gy,17.5,1.5,0,2,0,3,2,3.0,3.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,vzh2vs,17.5,2.5,0,0,0,0,0,0.0,2.0,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,vzh2vs,17.5,2.5,0,0,0,0,0,4.0,2.0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
vzj5ee,yez9pj,17.0,2.0,0,0,0,0,2,1.0,1.0,6,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
kvp8as,pmh3ax,17.0,0.0,0,2,0,0,0,3.0,6.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ybu6vk,vzh2vs,17.0,0.0,0,0,0,0,2,4.0,2.0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
vzj5ee,jnn7nd,17.0,2.0,0,0,0,0,2,2.0,2.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,vkh4pg,17.0,0.0,0,0,0,3,2,3.0,6.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
usu8qa,fpv5gr,17.0,0.0,0,0,6,0,2,1.0,1.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,hvf5hy,17.0,0.0,0,0,0,0,0,3.0,3.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kks9hk,gqk5bm,17.0,3.0,0,2,2,0,2,1.0,1.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,vkh4pg,17.0,0.0,0,2,0,3,0,3.0,6.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
usu8qa,gvz4gy,17.0,2.0,0,2,0,3,4,2.0,1.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
npw9hv,fpv5gr,17.0,0.0,0,0,0,3,2,0.0,3.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
rem4eb,hvf5hy,17.0,0.0,0,0,0,0,0,4.0,2.0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bpr5yg,pmh3ax,17.0,0.0,0,2,0,0,2,4.0,4.0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
bpr5yg,fpv5gr,17.0,0.0,0,0,0,0,2,4.0,2.0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
her3cu,mun7du,16.5,1.5,0,2,0,0,6,0.0,0.0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
kvp8as,aby4fu,16.5,1.5,0,0,0,0,0,6.0,6.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,hvf5hy,16.5,2.5,0,0,0,3,0,2.0,2.0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,pmh3ax,16.5,2.5,0,2,0,0,0,2.0,4.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ajt8mm,dwj7ma,16.0,0.0,0,2,0,0,0,4.0,0.0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
pyp2xp,dwj7ma,16.0,0.0,0,2,0,0,0,0.0,0.0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
npw9hv,vkh4pg,16.0,0.0,0,2,0,0,2,3.0,6.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kvp8as,djf2ej,16.0,0.0,0,2,0,0,2,6.0,0.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
usu8qa,skn4vr,16.0,0.0,0,2,0,3,4,2.0,2.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kcj3un,pmh3ax,16.0,0.0,0,0,0,0,2,3.0,6.0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
